แหล่งนำเข้าสำคัญของไทย  ปี 2559 - 2562(มกราคม - เมษายน),,,,,,,,,,,,,
มูลค่า : ล้านบาท,,,,,,,,,,,,,
 รายการ ,2559,,2560,,2561,,2561,,2562,,2560,2561,2562
,,,,,,,(ม.ค. - เม.ย.),,(ม.ค. - เม.ย.),,,,
,,,,,,,,,,,,(ม.ค. - เม.ย.),(ม.ค. - เม.ย.)
,ลำดับ,มูลค่า,ลำดับ,มูลค่า,ลำดับ,มูลค่า,ลำดับ,มูลค่า,ลำดับ,มูลค่า,,,
รวมทั้งสิ้น,-,"6,888,186.70",-,"7,587,118.41",-,"8,098,098.18",-,"2,584,796.01",-,"3,229,146.44",10.15,6.73,24.93
   นามิเบีย,123,155.35,165,41.37,167,29.05,167,5.32,150,38.49,-73.37,-29.77,623.65
   โตโก,142,99.26,145,98.88,140,134.67,152,20.87,151,22.51,-0.38,36.19,7.86
   บาร์เบโดส,168,27.05,170,33.09,157,47.53,157,13.99,152,27.86,22.33,43.66,99.08
   เลบานอน,118,197.50,132,165.23,147,85.73,153,19.45,153,34.96,-16.34,-48.12,79.80
   ยูกันดา,132,118.11,130,175.98,144,121.67,123,71.50,154,20.01,48.99,-30.86,-72.02
   เบนิน,137,110.60,129,182.90,161,43.12,158,11.92,155,18.72,65.37,-76.42,56.99
   ซามัวตะวันตก,184,7.29,202,2.53,186,6.94,192,.52,156,20.14,-65.25,173.82,"3,772.33"
   อาร์เมเนีย,166,27.77,115,331.33,163,41.71,146,24.56,157,16.21,"1,093.30",-87.41,-33.98
   ทาจิกิสถาน,230,.14,175,20.63,156,53.51,148,21.86,158,20.97,"14,144.34",159.41,-4.04
   เซียร์ราลีโอน,174,21.50,157,60.54,166,34.35,144,25.53,159,14.28,181.56,-43.26,-44.06
   มาซิโดเนีย,162,40.20,169,34.63,149,82.47,149,21.68,160,17.10,-13.84,138.13,-21.09
   โบลิเวีย,108,485.21,148,91.22,150,75.68,141,32.65,161,14.05,-81.20,-17.03,-56.98
   บุรุนดี,241,.04,154,69.74,136,155.38,125,65.28,162,48.32,"164,765.72",122.81,-25.98
   โมนาโก,157,47.32,174,27.68,159,45.76,163,9.54,163,10.81,-41.51,65.33,13.29
   เฟรนช์โปลีนีเซีย,136,111.71,147,92.79,148,85.24,135,45.44,164,11.43,-16.93,-8.14,-74.83
   ติมัวร์เลสเต้,85,"1,318.35",187,7.78,188,5.19,184,1.22,165,7.76,-99.41,-33.30,534.99
   แอลเบเนีย,170,26.64,180,15.28,171,21.44,166,6.37,166,7.48,-42.65,40.31,17.44
   แกมเบีย,186,6.42,184,11.02,160,45.38,151,21.20,167,6.61,71.74,311.73,-68.84
   เกาหลีเหนือ,148,80.83,179,17.68,181,10.85,174,3.42,168,6.69,-78.12,-38.65,95.37
   ซูดาน,147,81.85,168,38.31,177,13.58,164,8.87,169,5.76,-53.20,-64.56,-35.01
   มอนเตเนโกร,195,3.89,198,2.99,198,2.27,191,.83,170,5.39,-23.19,-23.96,551.67
   เซนต์วินเซนต์,151,69.15,156,63.96,197,2.55,204,.16,171,5.29,-7.50,-96.02,"3,175.06"
   อัฟกานิสถาน,196,3.02,207,2.04,179,12.19,187,1.12,172,5.33,-32.67,498.88,375.17
   เนเธอร์แลนด์แอนทิลลีส,185,6.95,194,4.53,170,23.37,177,3.04,173,4.95,-34.77,415.45,62.97
   มอริเตเนีย,169,26.65,178,17.80,184,8.63,176,3.20,174,5.89,-33.19,-51.53,84.23
   แอนตาร์กติกา,247,.02,247,.00,190,4.97,,,175,4.03,-92.31,"413,841.67",
   อิเควทอเรียลกินี,77,"1,531.17",76,"1,934.52",71,"2,449.49",173,4.34,176,3.73,26.34,26.62,-14.04
   แอนติกัวและบาร์บูดา,188,6.14,188,7.14,182,10.05,181,2.54,177,4.34,16.13,40.83,70.45
   เนปาล,176,21.12,181,14.88,178,13.55,169,5.02,178,4.67,-29.55,-8.94,-7.01
   โดมินิกา,203,1.44,192,5.05,187,6.11,207,.13,179,4.43,251.12,21.11,"3,183.01"
   หมู่เกาะฟอล์กแลนด์,167,27.31,167,39.80,142,128.32,,,180,3.48,45.73,222.46,
