สินค้าส่งออกสำคัญของไทยตามโครงสร้างสินค้าส่งออก,,,,,,,,,,,,
โลก,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราการขยายตัว(%),,,,สัดส่วน (%),,,
สินค้า,2560,2561,2561,2562,2560,2561,2561,2562,2560,2561,2561,2562
,,,(ม.ค.-พ.ค.),(ม.ค.-พ.ค.),,,(ม.ค.-พ.ค.),(ม.ค.-พ.ค.),,,(ม.ค.-พ.ค.),(ม.ค.-พ.ค.)
   1.1.18 ฝ้าย,331.7,232.9,94.7,74.2,16.40,-29.78,-39.72,-21.66,0.00,0.00,0.00,0.00
   1.1.19 สินค้ากสิกรรมอื่น ๆ,"4,840.0","5,486.2","2,159.6","2,281.8",-8.71,13.35,5.31,5.66,0.06,0.07,0.07,0.07
  1.2 สินค้าประมง,"71,515.1","63,393.4","24,826.3","22,063.6",0.99,-11.36,-8.29,-11.13,0.89,0.78,0.75,0.69
   1.2.1 กุ้ง,"38,148.7","33,164.1","11,830.5","10,691.1",3.42,-13.07,-8.39,-9.63,0.48,0.41,0.36,0.33
    (1) กุ้งสด แช่เย็น แช่แข็ง,"33,446.8","24,662.2","8,645.0","7,554.9",-1.94,-26.26,-25.67,-12.61,0.42,0.30,0.26,0.24
     (1.1) กุ้งกุลาดำสด แช่เย็น แช่แข็ง,"1,001.6",753.1,243.1,245.0,-43.68,-24.81,-50.76,0.78,0.01,0.01,0.01,0.01
     (1.2) กุ้งก้ามกรามสด แช่เย็น แช่แข็ง,463.2,506.2,159.0,173.4,-5.12,9.28,-40.95,9.05,0.01,0.01,0.00,0.01
     (1.3) กุ้งอื่น ๆ สด แช่เย็น แช่แข็ง,"31,981.9","23,402.9","8,242.8","7,136.5",0.44,-26.82,-24.15,-13.42,0.40,0.29,0.25,0.22
    (2) กุ้งแห้ง ใส่เกลือหรือแช่น้ำเกลือ รมควัน,0.0,0.1,0.0,0.1,-99.99,191.58,-70.89,"1,011.59",0.00,0.00,0.00,0.00
    (3) กุ้งต้มสุกแช่เย็น,"1,997.5","5,094.5","1,620.8","1,133.2",,155.05,,-30.09,0.02,0.06,0.05,0.04
    (4) กุ้งอื่น ๆ,"2,704.4","3,407.2","1,564.7","2,003.0",13.23,25.99,21.93,28.01,0.03,0.04,0.05,0.06
